Pais,Inventario Hom,Clave Inv Parcela,Tipo Bosque,Zona de Vida,Suelo IPCC,Area Protegida,Categoría Area Protegida,Suelo FAO,Zona Climática,POSICIÓN Topográfica,División Administrativa,DAP (cm),ALTURA (m),Densidad (arb/ha),Vol (m3/ha),CO2 (ton/ha)
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15233,Latifoliados,Bosque Pluvial Premontano,Suelos volcánicos,Miravalles,Zona Protectora,Andosols,"Tropical, muy húmeda",Media,Upala,24.801923076923078,16.041555976419055,520.0,510.27791282276223,590.2839302905802
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15254,Árboles Dispersos,Bosque Muy Humedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Fondo,San Carlos,32.8,16.5,40.0,35.12422716127797,51.296112998085945
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15272,Palmas,Bosque Muy Humedo Tropical,Suelo de humedales,Barra del Colorado (mixto),Refugio de Vida Silvestre,Ferralsols,"Tropical, muy húmeda",Plano,Pococi,22.159259259259258,12.685185185185185,540.0,224.49180217651323,242.96958901257028
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15407,Latifoliados,Bosque Húmedo Tropical,Suelos volcánicos,Areas anexas a ASP,Otras Reservas,Andosols,"Tropical, muy húmeda",Media,Liberia,18.021052631578943,9.024561403508772,570.0,100.91094447331585,184.9667913870834
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15452,Palmas,Bosque Muy Humedo Tropical,Suelo arcilloso de baja actividad,Humedal Caribe Noreste,"Ramsar Site, Wetland of International Importance",Ferralsols,"Tropical, muy húmeda",Plano,Pococi,25.79787234042553,10.319148936170214,470.0,150.71151441492032,173.28101871192973
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15528,Latifoliados,Bosque Muy Humedo Tropical,Suelo arcilloso de alta actividad,Maquenque (mixto),Refugio de Vida Silvestre,Alisols,"Tropical, muy húmeda",Plano,Sarapiqui,19.905172413793103,16.67241379310345,580.0,392.145521292189,528.9165450542622
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15538,Palmas,Bosque Muy Humedo Tropical,Suelo arcilloso de baja actividad,Barra del Colorado (mixto),Refugio de Vida Silvestre,Ferralsols,"Tropical, muy húmeda",Plano,Sarapiqui,23.273584905660375,13.11320754716981,530.0,193.0997595987643,212.22925894911324
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15609,Bosques Secundarios,Bosque Muy Humedo Premontano,Suelo arcilloso de baja actividad,,,Acrisols,"Tropical, muy húmeda",Media,San Carlos,17.862857142857152,12.042857142857143,350.0,96.7679377454678,131.09836982756852
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15674,Árboles Dispersos,Bosque Húmedo Premontano,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, húmeda",Media,Liberia,0.0,0.0,0.0,0.0,0.0
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15717,Árboles Dispersos,Bosque Muy Humedo Tropical,Suelo arcilloso de baja actividad,Barra del Colorado (mixto),Refugio de Vida Silvestre,Ferralsols,"Tropical, muy húmeda",Plano,Sarapiqui,24.972727272727273,14.454545454545455,110.0,77.10201933793965,118.36329568844803
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15721,Palmas,Bosque Muy Humedo Tropical,Suelo arcilloso de baja actividad,Humedal Caribe Noreste,"Ramsar Site, Wetland of International Importance",Ferralsols,"Tropical, muy húmeda",Plano,Pococi,25.844642857142855,11.089285714285714,560.0,209.6710796518096,240.53808180118418
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica1573,Árboles Dispersos,Bosque Muy Humedo Premontano,Suelo arcilloso de baja actividad,,,Acrisols,"Tropical, muy húmeda",Cresta-Plano,San Carlos,32.65,8.5,20.0,9.120047400361987,14.320533824529015
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15803,Árboles Dispersos,Bosque Muy Humedo Tropical,Suelo arcilloso de baja actividad,,,Fluvisols,"Tropical, muy húmeda",Plano,Sarapiqui,34.41428571428571,18.142857142857142,140.0,235.78146487937093,297.135505407886
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15808,Latifoliados,Bosque Muy Humedo Tropical,Suelo arcilloso de baja actividad,Barra del Colorado (mixto),Refugio de Vida Silvestre,Ferralsols,"Tropical, muy húmeda",Plano,Pococi,20.84081632653061,14.10204081632653,490.0,312.2353147480128,369.3086200015329
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15946,Árboles Dispersos,Bosque Húmedo Premontano,Suelo arcilloso de alta actividad,,,Regosols,"Tropical, húmeda",Superior,Bagaces,10.5,2.75,20.0,0.2407245370813179,0.3651862764053338
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica15992,Palmas,Bosque Muy Humedo Tropical,Suelo arcilloso de baja actividad,Humedal Caribe Noreste,"Ramsar Site, Wetland of International Importance",Ferralsols,"Tropical, muy húmeda",Plano,Pococi,24.6027027027027,12.135135135135135,370.0,171.14274835480782,152.04900201060636
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16048,Árboles Dispersos,Bosque Muy Humedo Premontano,Suelos volcánicos,Tenorio,Zona Protectora,Andosols,"Tropical, muy húmeda",Media,Guatuso,11.75,5.0,20.0,0.5378013923864027,0.6191297573655231
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16124,Árboles Dispersos,Bosque Húmedo Premontano,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, húmeda",Plano,Liberia,38.5,6.6,20.0,8.53138754990478,14.749223694726213
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16156,Árboles Dispersos,Bosque Muy Humedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Media,San Carlos,31.2,5.0,20.0,3.8246141663883835,5.366937248200157
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16220,Árboles Dispersos,Bosque Seco Tropical,Suelo arcilloso de alta actividad,,,Luvisols,"Tropical, húmeda",Baja,Bagaces,17.783333333333335,8.799999999999999,60.0,7.213086915165123,9.556321930222637
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16225,Bosques Secundarios,Bosque Húmedo Premontano,Suelos volcánicos,,,Andosols,"Tropical, muy húmeda",Media,Tilaran,24.85576923076923,10.461538461538462,520.0,255.0594280101073,392.5499643607361
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16231,Latifoliados,Bosque Pluvial Premontano,Suelos volcánicos,,,Andosols,"Tropical, muy húmeda",Media,San Carlos,23.965,15.55,400.0,354.3215350681222,503.4505758089678
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16248,Latifoliados,Bosque Muy Humedo Tropical,Suelo arcilloso de alta actividad,,,Alisols,"Tropical, muy húmeda",Plano,Sarapiqui,20.459375,16.915233789370525,640.0,322.6807411017201,453.04908972686104
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16264,Latifoliados,Bosque Muy Humedo Tropical,Suelo arcilloso de alta actividad,Humedal Caribe Noreste,"Ramsar Site, Wetland of International Importance",Alisols,"Tropical, muy húmeda",Plano,Pococi,20.530769230769234,14.091787447534792,520.0,267.4942707774426,371.31639486941094
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16535,Palmas,Bosque Muy Humedo Tropical,Suelo arcilloso de alta actividad,Humedal Caribe Noreste,"Ramsar Site, Wetland of International Importance",Alisols,"Tropical, muy húmeda",Plano,Pococi,22.667187500000004,12.640625,640.0,178.81643005940194,201.8147841620124
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica1664,Bosques Secundarios,Bosque Muy Humedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Media,San Carlos,18.885245901639344,17.147540983606557,610.0,210.95585752943995,272.0119901810435
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16657,Bosques Secundarios,Bosque Húmedo Premontano,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, húmeda",Media,Santa Cruz,21.45,10.802941176470588,340.0,113.9424321997289,182.97900884697873
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16671,Árboles Dispersos,Bosque Húmedo Premontano,Suelo arcilloso de alta actividad,,,Vertisols,"Tropical, húmeda",Plano,Canas,71.33333333333333,9.0,30.0,55.36821432502991,83.17839423050158
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16707,Árboles Dispersos,Bosque Muy Humedo Tropical,Suelo arcilloso de alta actividad,,,Alisols,"Tropical, muy húmeda",2,Pococi,52.05,17.5,20.0,37.20616846679356,45.130692833162286
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16780,Árboles Dispersos,Bosque Muy Humedo Premontano,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Plano,San Carlos,15.884615384615385,8.0,130.0,16.666702732999045,19.696845202585855
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16786,Bosques Secundarios,Bosque Muy Humedo Premontano,Suelo arcilloso de baja actividad,,,Nitisols,"Tropical, muy húmeda",Baja,Grecia,28.898124999999993,18.04372958213733,480.0,442.6101598324948,613.6637874119255
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16806,Palmas,Bosque Muy Humedo Tropical,Suelo arcilloso de alta actividad,Humedal Caribe Noreste,"Ramsar Site, Wetland of International Importance",Alisols,"Tropical, muy húmeda",Plano,Pococi,22.764912280701754,12.599784019110839,570.0,199.71969137257344,210.92749827584746
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16855,Latifoliados,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Media,Canas,24.93617021276596,10.691489361702128,470.0,269.5997005586251,311.8170998379464
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica16963,Árboles Dispersos,Bosque Muy Humedo Tropical,Suelos volcánicos,,,Andosols,"Tropical, muy húmeda",Plano,San Carlos,15.912820512820517,6.128205128205129,390.0,45.44508944861239,48.70241283037153
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17039,Latifoliados,Bosque Muy Humedo Premontano,Suelo arcilloso de alta actividad,,,Andosols,"Tropical, muy húmeda",Superior,Abangares,25.713953488372088,11.66627906976744,860.0,566.9274202837798,840.5128622275015
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17052,Bosques Secundarios,Bosque Muy Humedo Tropical,Suelos volcánicos,Juan Castro Blanco,Parque Nacional,Andosols,"Tropical, muy húmeda",Media,San Carlos,18.698387096774198,12.629032258064516,620.0,192.50074034653184,274.2581366338107
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17132,Latifoliados,Bosque Pluvial Montano Bajo,Suelos volcánicos,Arenal-Monteverde,Zona Protectora,Andosols,"Tropical, muy húmeda",Superior,San Ramon,23.900000000000002,13.537037037037036,540.0,270.60895683354494,339.59892382914677
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17149,Latifoliados,Bosque Muy Humedo Tropical,Suelos volcánicos,,,Andosols,"Tropical, muy húmeda",Baja,Sarapiqui,25.34210526315789,17.842105263157894,380.0,288.9286831540557,385.62492911972623
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica171490,Bosques Secundarios,Bosque Muy Humedo Tropical,Suelos volcánicos,,,Andosols,"Tropical, muy húmeda",Media,Sarapiqui,20.772916666666667,14.5,480.0,202.56401559821686,175.17110217843836
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17163,Árboles Dispersos,Bosque Muy Humedo Tropical,Suelo arcilloso de alta actividad,,,Alisols,"Tropical, muy húmeda",Plano,Guacimo,37.75,10.75,40.0,52.50769603916598,49.01663619647075
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17196,Árboles Dispersos,Bosque Seco Tropical,Suelo arcilloso de alta actividad,,,Luvisols,"Tropical, húmeda",Plano,Santa Cruz,14.88,7.2,150.0,9.874469460195039,13.241636406894497
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17227,Bosques Secundarios,Bosque Muy Humedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Superior,San Ramon,22.586538461538456,16.98076923076923,520.0,309.6900788468813,364.7936699509312
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17233,Bosques Secundarios,Bosque Pluvial Montano Bajo,Suelos volcánicos,Juan Castro Blanco,Parque Nacional,Andosols,"Tropical, muy húmeda",Media,San Carlos,23.0,11.732142857142858,560.0,276.901209562521,334.73361849890483
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17252,Plantaciones,Bosque Muy Humedo Tropical,Suelo arcilloso de alta actividad,,,Alisols,"Tropical, muy húmeda",Plano,Guacimo,18.736363636363638,13.272727272727273,110.0,33.0673282762023,40.54899719869298
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17284,Bosques Secundarios,Bosque Seco Tropical,Suelo arcilloso de alta actividad,,,Luvisols,"Tropical, húmeda",Plano,Santa Cruz,21.173684210526318,10.621052631578948,380.0,93.69366510275454,142.08997548514984
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17307,Árboles Dispersos,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Luvisols,"Tropical, muy húmeda",Media,Abangares,21.299999999999997,7.675,40.0,6.203057023054369,8.395216128364666
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17319,Bosques Secundarios,Bosque Muy Humedo Premontano,Suelos volcánicos,,,Andosols,"Tropical, muy húmeda",Media,San Carlos,22.48125,16.0625,480.0,328.1984538792495,417.78139111548654
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17349,Palmas,Bosque Muy Humedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Plano,Siquirres,25.770967741935486,13.433539644399099,310.0,149.77729973725215,154.63901071829102
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17379,Bosques Secundarios,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Luvisols,"Tropical, húmeda",Media,Santa Cruz,22.81428571428571,10.010714285714286,280.0,98.39945988015933,123.97459029850367
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17387,Bosques Secundarios,Bosque Húmedo Tropical,Suelo de humedales,,,Gleysols,"Tropical, húmeda",Plano,Nicoya,20.22702702702702,11.510810810810808,370.0,115.03575592326246,137.16289683806403
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17424,Bosques Secundarios,Bosque Muy Humedo Tropical,Suelo arcilloso de baja actividad,,,Nitisols,"Tropical, muy húmeda",Plano,Sarapiqui,15.8,11.37037037037037,270.0,112.08838163260566,140.4459373487271
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica1745,Árboles Dispersos,Bosque Húmedo Tropical,Suelo arcilloso de baja actividad,,,Acrisols,"Tropical, muy húmeda",Plano,Los Chiles,15.33333333333333,3.0,90.0,5.280404640116993,6.062528895480491
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica1747,Bosques Secundarios,Bosque Húmedo Tropical,Suelo arcilloso de baja actividad,,,Acrisols,"Tropical, muy húmeda",Plano,Los Chiles,16.473684210526315,12.31578947368421,380.0,66.44571349501818,80.32719445975165
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17515,Árboles Dispersos,Bosque Muy Humedo Tropical,Suelo arcilloso de baja actividad,,,Fluvisols,"Tropical, muy húmeda",Plano,Pococi,17.8125,9.0,80.0,11.53774249373917,11.603809662577351
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17663,Mangle,Bosque Seco Tropical,Suelo de humedales,,,Gleysols,"Tropical, húmeda",Plano,Abangares,0.0,0.0,0.0,0.0,0.0
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17830,Latifoliados,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,Diría,Parque Nacional,Regosols,"Tropical, húmeda",Media,Santa Cruz,26.060000000000002,13.645000000000001,400.0,357.2993034823044,691.2688346716981
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17834,Bosques Secundarios,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Luvisols,"Tropical, muy húmeda",Plano,Nicoya,29.526086956521734,10.956521739130435,230.0,143.45683556191523,224.93799622853223
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17848,Árboles Dispersos,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Luvisols,"Tropical, húmeda",Baja,Puntarenas,22.944444444444443,5.222222222222222,90.0,20.13736347258451,26.860646148193197
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17852,Bosques Secundarios,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Baja,Montes De Oro,24.645454545454548,13.459090909090907,440.0,241.03097941702245,400.67502326059196
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17858,Árboles Dispersos,Bosque Muy Humedo Premontano,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Media,San Ramon,22.072727272727267,8.936363636363636,110.0,33.031679053565696,37.28551747291161
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17869,Latifoliados,Bosque Pluvial Montano Bajo,Suelos volcánicos,Braulio Carrillo,Parque Nacional,Andosols,"Tropical, muy húmeda",Media,Heredia,32.86666666666667,15.673333333333336,450.0,470.2241243414514,616.5089727339562
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17917,Árboles Dispersos,Bosque Húmedo Tropical,Suelo arcilloso de alta actividad,,,Luvisols,"Tropical, húmeda",Media,Santa Cruz,16.825,8.0,40.0,4.642203837008085,5.917839189262232
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica17981,Latifoliados,Bosque Muy Humedo Premontano,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Plano,Matina,22.178,10.408000000000001,500.0,173.69524133496893,194.73406058163596
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica18041,Plantaciones,Bosque Húmedo Premontano,Suelos volcánicos,,,Andosols,"Tropical, muy húmeda",Media,Naranjo,14.655172413793103,4.976896551724138,290.0,13.332313169342294,18.33711880774403
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica18064,Bosques Secundarios,Bosque Muy Humedo Premontano,Suelos volcánicos,,,Nitisols,"Tropical, muy húmeda",Plano,Siquirres,36.377272727272725,15.65912190745566,220.0,308.50135766513796,391.73073156445156
Costa Rica,Inventario Nacional Forestal Costa Rica - 2014,INF Costa Rica18065,Plantaciones,Bosque Muy Humedo Premontano,Suelo arcilloso de alta actividad,,,Cambisols,"Tropical, muy húmeda",Plano,Siquirres,23.95214285714286,16.807142857142857,280.0,183.8219901100252,147.65329838318823
